"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"FID3,FID2,FID1";"Fiducial_1mm_Dia_2.54mm_Outer_CopperTop";3;"Fiducial_1mm_Dia_2.54mm_Outer_CopperTop";;;
2;"REF**,REF**";"MountingHole_3.2mm_M3_ISO7380";2;"MountingHole_3.2mm_M3_ISO7380";;;
3;"G***";"Logo_silk_OSHW_6x6mm";1;"LOGO";;;
4;"D_LCD1";"lcd_16x2_for_TBMAX_charger";1;"DISPLAY_HD44780";;;
5;"J3";"PinHeader_1x03_P2.54mm_Vertical";1;"extra";;;
6;"U1";"SOIC-24W_7.5x15.4mm_P1.27mm";1;"CJ125";;;
7;"SW1";"SW_PUSH_6mm_H7.3mm";1;"SW_Push";;;
8;"R18,R16,R10,R9,R5";"R_1206_3216Metric";5;"10k";;;
9;"R17,R14";"R_1206_3216Metric";2;"2.2k";;;
10;"R15";"R_1206_3216Metric";1;"30k";;;
11;"R13,R12,R11";"R_1206_3216Metric";3;"220";;;
12;"R8";"R_1206_3216Metric";1;"6.8k";;;
13;"R7,R2";"R_1206_3216Metric";2;"100k";;;
14;"R6";"R_1206_3216Metric";1;"61.9";;;
15;"R4";"R_1206_3216Metric";1;"4k7";;;
16;"R3";"R_1206_3216Metric";1;"22k";;;
17;"R1";"R_1206_3216Metric";1;"301";;;
18;"Q1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"AO4468";;;
19;"J5";"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal";1;"UART";;;
20;"J4";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"NarrowB out";;;
21;"J2";"TerminalBlock_Phoenix_MKDS-1,5-6-5.08_1x06_P5.08mm_Horizontal";1;"LSU4.9";;;
22;"J1";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"Power";;;
23;"D4,D3";"LED_D5.0mm";2;"LED";;;
24;"D2";"D_DO-41_SOD81_P7.62mm_Horizontal";1;"20V Zener";;;
25;"D1";"D_DO-41_SOD81_P7.62mm_Horizontal";1;"1N4936";;;
26;"C9,C8";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"33n";;;
27;"C7,C5,C4,C3";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";4;"100n";;;
28;"C6";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"1n";;;
29;"C2";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"2.2n";;;
30;"C1";"CP_12.5x25mm_hor";1;"1000uF 35V";;;
31;"A1";"Arduino_Nano";1;"Arduino_Nano_v3.x";;;
